0087352,51,169
0088828,52,170
0090303,290,364
0091866,492,528
0093432,675,677
0094991,848,818
0096553,1007,947
0098203,1162,1073
0099939,93,204
0101422,64,180
0102890,58,175
0104366,54,172
0105841,54,172
0107317,50,169
0108793,51,169
0110268,286,361
0111831,491,527
0113393,676,678
0114956,843,813
0116518,1002,943
0118168,1153,1065
0119904,94,204
0121379,72,187
0122855,59,176
0124331,58,175
0125806,53,171
0127288,52,170
0128758,53,171
0130234,278,354
0131796,483,521
0133358,671,674
0134929,845,815
0136484,997,939
0138046,1141,1056
0139782,1291,1178
0141518,1425,1287
0143254,1555,1392
0144990,1667,1483
0146726,1771,1568
0148463,1869,1648
0150199,1951,1714
0151935,2037,1784
0153671,2113,1846
0155407,2178,1899
0157143,2245,1953
0158879,2314,2010
0160615,2362,2049
0162351,2416,2092
0164087,2458,2127
0165823,2503,2163
0167560,2547,2199
0169296,258,338
0170858,82,195
0172334,66,182
0173809,60,177
0175285,55,173
0176761,55,173
0178236,58,175
0179712,208,297
0181275,432,479
0182837,626,637
0184400,809,786
0185962,969,916
0187525,1129,1046
0189261,206,295
0190823,73,187
0192299,63,179
0193774,58,175
0195250,54,172
0196726,53,171
0198202,51,169
0199677,194,286
0201240,418,468
0202802,612,626
0204365,784,765
0205932,946,897
0207490,1102,1024
0209226,217,304
0210788,70,185
0212264,57,174
0213740,61,178
0215215,54,172
0216691,54,172
0218167,51,169
0219642,189,282
0221205,412,463
0222767,603,618
0224330,779,761
0225892,943,895
0227455,1093,1017
0229191,240,323
0230753,74,188
0232229,63,179
0233705,51,169
0235180,61,178
0236656,58,175
0238132,50,169
0239607,182,276
0241170,405,457
0242732,601,617
0244295,774,757
0245857,931,885
0247428,1088,1013
0249156,270,348
0250718,73,187
0252194,61,178
0253670,58,175
0255145,55,173
0256621,55,173
0258097,51,169
0259572,177,272
0261135,400,453
0262697,593,610
0264260,768,752
0265822,930,884
0267385,1085,1010
0269121,306,377
0270683,71,186
0272159,64,180
0273635,54,172
0275111,58,175
0276586,55,173
0278062,51,169
0279537,176,271
0281100,399,452
0282663,592,609
0284225,762,748
0285787,923,878
0287350,1077,1004
0289086,361,422
0290649,71,186
0292124,60,177
0293600,57,174
0295076,57,174
0296551,51,169
0298027,54,172
0299503,167,264
0301065,388,443
0302628,588,606
0304190,759,745
0305753,927,882
0307315,1073,1000
0309051,430,478
0310614,76,190
0312089,59,176
0313565,60,177
0315041,54,172
0316516,57,174
0317992,55,173
0319468,161,259
0321030,386,442
0322593,583,602
0324155,753,740
0325718,921,877
0327288,1072,1000
0329016,557,581
0330579,76,190
0332054,62,178
0333530,62,178
0335006,49,168
0336482,66,182
0337957,52,170
0339433,155,254
0340995,384,440
0342558,576,596
0344120,752,739
0345683,912,870
0347245,1071,999
0348895,1213,1114
0350631,70,185
0352106,63,179
0353582,60,177
0355058,48,167
0356533,58,175
0358009,50,169
0359485,165,262
0361047,388,443
0362610,577,597
0364172,756,743
0365735,915,872
0367297,1073,1000
0369033,487,524
0370596,77,191
0372071,59,176
0373547,64,180
0375023,54,172
0376499,55,173
0377974,53,171
0379450,161,259
0381012,385,441
0382575,579,599
0384137,752,739
0385700,914,871
0387270,1072,1000
0388998,1222,1122
0390734,1360,1234
0392471,1491,1340
0394207,1616,1442
0395943,1722,1528
0397686,1812,1601
0399422,1911,1682
0401151,1996,1751
0402887,2078,1818
0404623,2145,1872
0406359,2208,1923
0408095,2274,1977
0409831,2333,2025
0411568,2384,2066
0413304,2435,2108
0415040,2479,2144
0416776,2527,2183
0418512,2559,2209
0420248,106,214
0421810,76,190
0423286,64,180
0424762,64,180
0426237,59,176
0427713,60,177
0429189,114,221
0430751,361,422
0432314,567,589
0433876,748,736
0435439,913,870
0437001,1083,1009
0438737,1235,1132
0440474,1382,1252
0442209,1518,1362
0443946,1644,1465
0445682,1746,1548
0447425,1847,1630
0449154,1942,1707
0450890,2030,1779
0452626,2112,1845
0454362,2179,1900
0456098,2244,1953
0457834,2309,2005
0459570,2368,2053
0461307,2422,2097
0463043,2466,2133
0464779,2512,2170
0466515,2556,2206
0468251,2608,2249
0469987,122,227
0471549,77,191
0473025,61,178
0474501,60,177
0475977,55,173
0477452,55,173
0478932,54,172
0480404,316,385
0481966,525,555
0483529,714,709
0485091,886,848
0486654,1051,983
0488303,1203,1106
0490039,1355,1230
0491775,1489,1339
0493511,1619,1444
0495247,1735,1539
0496983,1835,1620
0498719,1930,1697
0500456,2015,1766
0502192,2102,1837
0503932,2173,1895
0505664,2239,1949
0507400,2304,2001
0509136,2365,2051
0510872,2418,2094
0512608,2463,2131
0514344,2511,2170
0516080,2551,2202
0517816,2607,2248
0519553,187,280
0521115,82,195
0522591,63,179
0524066,64,180
0525542,57,174
0527018,58,175
0528493,51,169
0529969,245,327
0531531,467,508
0533094,662,666
0534657,843,813
0536219,1006,946
0537868,1169,1079
0539604,119,225
0541167,68,183
0542643,62,178
0544118,55,173
0545594,55,173
0547070,49,168
0548545,52,170
0550021,246,328
0551583,462,504
0553146,653,659
0554708,827,800
0556271,986,930
0557833,1138,1053
0559570,1291,1178
0561305,1427,1288
0563042,1555,1392
0564778,1674,1489
0566514,1776,1572
0568250,1881,1657
0569986,1967,1727
0571722,2045,1791
0573458,2121,1853
0575194,2194,1912
0576932,2257,1963
0578666,2319,2014
0580403,2371,2056
0582139,2423,2098
0583875,2475,2140
0585611,2521,2178
0587347,2559,2209
0589083,562,585
0590646,87,199
0592121,71,186
0593597,61,178
0595073,58,175
0596548,60,177
0598024,56,174
0599500,174,269
0601062,403,456
0602625,605,620
0604187,784,765
0605750,956,905
0607312,1113,1033
0609048,457,500
0610611,74,188
0612086,62,178
0613562,57,174
0615038,48,167
0616513,57,174
0617989,55,173
0619465,161,259
0621027,391,446
0622590,591,609
0624152,763,748
0625715,926,881
0627286,1085,1010
0629013,586,604
0630576,79,192
0632051,63,179
0633527,55,173
0635003,57,174
0636478,57,174
0637954,53,171
0639432,153,252
0640992,377,435
0642555,579,599
0644117,755,742
0645680,917,874
0647242,1072,1000
0648978,871,836
0650541,76,190
0652017,62,178
0653492,57,174
0654968,59,176
0656444,55,173
0657926,55,173
0659395,149,249
0660958,375,433
0662520,575,596
0664082,743,732
0665645,912,870
0667207,1068,996
0668857,1216,1117
0670593,74,188
0672068,61,178
0673544,59,176
0675020,53,171
0676496,54,172
0677971,50,169
0679447,159,257
0681009,383,439
0682572,579,599
0684134,753,740
0685697,915,872
0687259,1072,1000
0688995,698,696
0690558,76,190
0692033,64,180
0693509,58,175
0694985,54,172
0696461,56,174
0697936,53,171
0699420,156,255
0700974,379,436
0702537,575,596
0704099,751,739
0705662,912,870
0707224,1069,997
0708874,1214,1115
0710610,71,186
0712085,63,179
0713561,59,176
0715037,54,172
0716512,52,170
0717988,54,172
0719464,162,260
0721026,384,440
0722589,578,598
0724151,754,741
0725714,916,873
0727285,1072,1000
0729012,1225,1124
0730748,1362,1235
0732484,1489,1339
0734221,1616,1442
